period,value,index_ratio,imputed_weight_share,coverage_ratio,n_quotes,n_strata_reported,imputation_ceiling_breached,is_base,config_hash,panel_hash,weights_vintage
2026-09-15,100.87380998406994,1.0087817778497146,0.005789743030835149,0.9952380952380953,2508,418,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,6bbc6d452d477a9cb7c0a6723168d2841b468710929af3a55b8a22c94d2769b6,dgca-2025-city-pairs-r2
2026-09-16,99.29815113113051,0.9843799014512463,0.005789743030835149,0.9952380952380953,2520,418,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,6bbc6d452d477a9cb7c0a6723168d2841b468710929af3a55b8a22c94d2769b6,dgca-2025-city-pairs-r2
2026-09-17,99.80722709265518,1.005126741593128,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,6bbc6d452d477a9cb7c0a6723168d2841b468710929af3a55b8a22c94d2769b6,dgca-2025-city-pairs-r2
2026-09-18,102.28867930732802,1.0248624502148447,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,6bbc6d452d477a9cb7c0a6723168d2841b468710929af3a55b8a22c94d2769b6,dgca-2025-city-pairs-r2
2026-09-19,100.44716346017258,0.9819968753177213,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,6bbc6d452d477a9cb7c0a6723168d2841b468710929af3a55b8a22c94d2769b6,dgca-2025-city-pairs-r2
2026-09-20,101.41252759135737,1.0096106659255497,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,6bbc6d452d477a9cb7c0a6723168d2841b468710929af3a55b8a22c94d2769b6,dgca-2025-city-pairs-r2
2026-09-21,100.01379478298091,0.9862074948569207,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,6bbc6d452d477a9cb7c0a6723168d2841b468710929af3a55b8a22c94d2769b6,dgca-2025-city-pairs-r2
2026-09-22,97.44320669044603,0.974297664656033,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,6bbc6d452d477a9cb7c0a6723168d2841b468710929af3a55b8a22c94d2769b6,dgca-2025-city-pairs-r2
2026-09-23,99.4198019423829,1.0202845874953197,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,6bbc6d452d477a9cb7c0a6723168d2841b468710929af3a55b8a22c94d2769b6,dgca-2025-city-pairs-r2
2026-09-24,100.42450713586763,1.0101056849224763,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,6bbc6d452d477a9cb7c0a6723168d2841b468710929af3a55b8a22c94d2769b6,dgca-2025-city-pairs-r2
2026-09-25,105.09010961756097,1.0464588038792273,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,6bbc6d452d477a9cb7c0a6723168d2841b468710929af3a55b8a22c94d2769b6,dgca-2025-city-pairs-r2
2026-09-26,103.50301639962126,0.984897787016158,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,6bbc6d452d477a9cb7c0a6723168d2841b468710929af3a55b8a22c94d2769b6,dgca-2025-city-pairs-r2
2026-09-27,105.03227738237365,1.0147750378293128,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,6bbc6d452d477a9cb7c0a6723168d2841b468710929af3a55b8a22c94d2769b6,dgca-2025-city-pairs-r2
2026-09-28,103.66619852912866,0.9869937233839867,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,6bbc6d452d477a9cb7c0a6723168d2841b468710929af3a55b8a22c94d2769b6,dgca-2025-city-pairs-r2
2026-09-29,105.28337896178967,1.01559988169342,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,6bbc6d452d477a9cb7c0a6723168d2841b468710929af3a55b8a22c94d2769b6,dgca-2025-city-pairs-r2
2026-09-30,107.43659318220742,1.0204516063375892,0.0,1.0,2520,420,False,False,8eac16ab1440eadd8c29cc1f5a84af267b0a3bfe65f53c55d640b3f43c7261b2,6bbc6d452d477a9cb7c0a6723168d2841b468710929af3a55b8a22c94d2769b6,dgca-2025-city-pairs-r2
